NCIH2122,OV90,NCIH1650,MDAMB436,LOVO,SW837,A2780,NCIH520,A2058,HCT116,HT144,KPL1,SKOV3,RPMI7951,RKO,NCIH460,SKMEL30,SKMES1,DLD1,UACC62,SW620,CAOV3,T47D,ZR751,VCAP,HT29,ES2,A375,NCIH23,A427,OCUBM
-0.291367,-0.288173,-0.21646700000000002,0.236004,-0.350355,-0.481962,0.172877,0.206581,0.666329,-0.291788,0.294427,-0.338564,0.006187,0.161167,-0.638158,-0.368243,0.088791,0.30057,-0.253306,0.12503699999999998,-0.535419,-0.079538,-0.507383,-0.454809,-0.285641,-0.313157,0.23026799999999997,0.222802,-0.041449,0.127416,-0.5590350000000001
-0.387115,-0.6950649999999999,0.22414099999999998,0.354657,-0.534389,-0.073043,-0.751582,-0.120965,0.44479300000000005,-0.422015,0.406984,-0.637574,-0.251587,0.351027,-0.24378200000000003,-0.062414,1.0561989999999999,-0.254405,-0.42831499999999995,0.41181899999999994,-0.120689,-0.822943,-0.521629,-0.05859299999999999,0.121326,-0.835061,0.45065299999999997,0.615241,-0.061814999999999995,-0.084284,-0.8371069999999999
0.32142600000000005,0.558728,0.045901,0.046620999999999996,0.295941,0.682217,-0.194133,0.502837,-0.790747,-0.359199,-0.35333000000000003,0.204996,0.061795,0.157256,0.18545999999999999,-0.362735,0.334364,-0.7707609999999999,0.151552,-1.018538,-0.22819499999999998,0.015702,-0.10094500000000001,0.264477,-0.8680379999999999,0.1178,0.196629,-0.70327,-0.541714,-1.140051,-0.33282
-0.21227600000000002,0.602776,0.026491000000000004,0.19283599999999998,-0.363533,-0.069953,0.326804,-0.09606100000000001,-1.303253,-0.290698,-1.052735,-0.42060600000000004,0.13905399999999998,-0.45707200000000003,-1.389674,-0.558516,-0.330389,-0.23406999999999997,0.064933,-0.21540399999999998,0.301221,-0.177886,0.203406,-0.201303,-0.8676229999999999,0.6676270000000001,-0.669233,-0.7557149999999999,0.046187,-0.046147,-0.191574
-0.27608699999999997,0.063197,-0.326637,-1.669248,-0.525698,-0.176748,0.21419899999999997,-1.168411,0.008567,-0.326317,-0.090876,-0.296671,-0.436667,-0.951039,-0.253724,-1.141135,-0.19476400000000002,-0.413837,-0.308742,0.238233,-1.019593,-0.8363149999999999,0.306485,-0.163863,0.109999,-0.18426199999999998,-0.760404,0.11703,-0.10315899999999999,-0.875992,-0.117204
0.804524,-1.739911,0.436069,0.787033,0.18842,0.051632000000000004,0.253139,-0.244995,1.0378969999999998,0.031125999999999997,0.13145,0.187906,-0.806819,0.051851,-0.360277,0.174557,-0.095939,-0.073714,-0.21087899999999998,-0.05715800000000001,1.033181,0.8198549999999999,0.478706,0.33978,-0.21603000000000003,1.744113,0.472967,0.7253229999999999,-1.7574889999999999,0.7473380000000001,-0.31135999999999997
-0.194602,0.10310699999999999,0.544239,-0.20499,0.008105,-0.19301600000000002,-0.6457069999999999,-0.40758099999999997,-0.063294,0.136006,-0.152302,-0.589014,0.144651,-0.091959,-0.212552,-0.10962999999999999,-0.078644,1.522376,0.10648800000000001,-0.26043099999999997,-0.247752,-0.025215,0.29740300000000003,0.020927,0.05101,0.47935200000000006,0.107253,-0.360755,0.8762340000000001,0.41025,0.469412
0.630486,-0.020777,0.42483999999999994,0.860497,0.344767,0.065717,-0.753095,0.27019899999999997,-0.657738,0.19531700000000002,-0.816149,0.707929,-0.711064,-0.402588,-0.135722,-0.010929000000000001,-0.304058,-1.081194,0.12475499999999999,-0.059807000000000006,0.616097,0.118833,-0.607132,0.036188,-0.107654,-0.101784,-0.169767,-0.193275,-0.23300500000000002,0.344045,0.259664
-1.251054,0.02087,-0.665754,0.40172399999999997,0.070461,-0.386262,0.104163,-0.6498109999999999,1.009109,0.037,0.604301,-1.278838,0.046599,1.707884,0.903949,0.343783,0.967492,-0.18914,-0.44637299999999996,1.598034,-0.0076,-0.6069439999999999,-1.189941,-1.775123,-0.827499,-0.790709,0.6607270000000001,1.469264,0.039641,-0.11233499999999999,-2.1608080000000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.71819,0.476768
