FAM131B
ZNF198
MAP2K2
WHSC1L1
LHFPL5
NTRK3
ABL2
MLLT4
SIX2
ECT2L
XPC
RUNDC2A
ZMYM3
TMEM127
MACC1
TRA
TMPRSS2
TRB
TRD
HIST1H3B
PAX7
CASC5
C2orf44
MUC16
LCP1
IGL
IGK
CRNKL1
IGH
FEV
ASPSCR1
KIAA1598
ZNRF3
WHSC1
MPL
DUX4L1
MAF
FLNA
ZNF278
GAS7
